School,Latitude,Longitude
Air Force,38.9983,-104.8613
Akron,41.0756,-81.5123
Appalachian State,36.2114,-81.6854
Arkansas State,35.843,-90.675
Army,41.3918,-73.9585
Ball State,40.2025,-85.408
Boise State,43.6028,-116.1994
Bowling Green,41.378,-83.6268
Buffalo,43.0008,-78.789
Central Michigan,43.5818,-84.7766
Charlotte,35.3071,-80.7302
Coastal Carolina,33.7948,-79.0132
Colorado State,40.5734,-105.0865
Delaware,39.678,-75.7506
East Carolina,35.6069,-77.3665
Eastern Michigan,42.2508,-83.624
FIU,25.7562,-80.3755
Florida Atlantic,26.3705,-80.1017
Fresno State,36.8123,-119.7471
Georgia Southern,32.4225,-81.785
Georgia State,33.7531,-84.3853
Hawaii,21.2998,-157.8148
Jacksonville State,33.8234,-85.7663
James Madison,38.4351,-78.8698
Kennesaw State,34.0379,-84.581
Kent State,41.1443,-81.3398
Liberty,37.3542,-79.1766
Louisiana,30.2109,-92.0227
Louisiana Tech,32.5303,-92.6517
Louisiana-Monroe,32.5273,-92.0736
Marshall,38.4239,-82.4283
Memphis,35.1185,-89.9372
Miami (OH),39.5097,-84.7335
Middle Tennessee,35.8486,-86.3669
Missouri State,37.1994,-93.28
Navy,38.9822,-76.485
Nevada,39.5441,-119.8164
New Mexico,35.0844,-106.6198
New Mexico State,32.2818,-106.7486
North Dakota State,46.8966,-96.8023
North Texas,33.2075,-97.1526
Northern Illinois,41.9339,-88.7758
Ohio,39.3248,-82.095
Old Dominion,36.8853,-76.3059
Rice,29.7174,-95.4018
Sacramento State,38.5606,-121.4243
Sam Houston,30.7145,-95.5494
San Diego State,32.7758,-117.0719
San Jose State,37.3353,-121.8814
South Alabama,30.6974,-88.1818
South Florida,28.0587,-82.4139
Southern Miss,31.3301,-89.3323
Temple,39.9812,-75.1581
Texas State,29.8884,-97.9383
Toledo,41.6617,-83.6136
Troy,31.8023,-85.9549
Tulane,29.9405,-90.1203
Tulsa,36.1517,-95.9463
UAB,33.502,-86.8058
UConn,41.8077,-72.254
UMass,42.3868,-72.5301
UNLV,36.107,-115.1428
Utah State,41.7452,-111.8097
UTEP,31.7709,-106.505
UTSA,29.5841,-98.6186
Western Kentucky,36.9859,-86.4568
Western Michigan,42.2825,-85.6146
Wyoming,41.3134,-105.5807
