School,Latitude,Longitude
Alabama,33.2098,-87.5461
Arizona,32.2319,-110.9501
Arizona State,33.4242,-111.9281
Arkansas,36.0679,-94.1737
Auburn,32.6026,-85.4839
Baylor,31.5497,-97.1143
Boston College,42.3355,-71.1685
BYU,40.2518,-111.6493
California,37.8719,-122.2585
Cincinnati,39.1319,-84.5152
Clemson,34.678,-82.8361
Colorado,40.0076,-105.2659
Duke,36.0014,-78.9382
Florida,29.6436,-82.3549
Florida State,30.4419,-84.2985
Georgia,33.948,-83.3773
Georgia Tech,33.7756,-84.3963
Houston,29.7199,-95.3422
Illinois,40.102,-88.2272
Indiana,39.1766,-86.513
Iowa,41.6627,-91.5549
Iowa State,42.0266,-93.6465
Kansas,38.9543,-95.2558
Kansas State,39.1911,-96.581
Kentucky,38.0307,-84.504
Louisville,38.2123,-85.7585
LSU,30.4133,-91.18
Maryland,38.9869,-76.9426
Miami (FL),25.7196,-80.277
Michigan,42.278,-83.7382
Michigan State,42.7018,-84.4822
Minnesota,44.974,-93.2277
Mississippi State,33.4504,-88.7944
Missouri,38.9404,-92.3277
NC State,35.7847,-78.6821
Nebraska,40.8175,-96.7014
North Carolina,35.9049,-79.0469
Northwestern,42.0565,-87.6753
Notre Dame,41.7056,-86.2353
Ohio State,40.0067,-83.0305
Oklahoma,35.2059,-97.4457
Oklahoma State,36.1215,-97.0673
Ole Miss,34.3647,-89.5384
Oregon,44.0448,-123.0726
Oregon State,44.5638,-123.2794
Penn State,40.7982,-77.8599
Pittsburgh,40.4442,-79.9532
Purdue,40.4237,-86.9212
Rutgers,40.5008,-74.4474
SMU,32.8412,-96.7845
South Carolina,33.9937,-81.0267
Stanford,37.4275,-122.1697
Syracuse,43.0392,-76.1351
TCU,32.7095,-97.3628
Tennessee,35.9544,-83.9295
Texas,30.2849,-97.7341
Texas A&M,30.6181,-96.3365
Texas Tech,33.5843,-101.8743
UCF,28.6024,-81.2001
UCLA,34.0689,-118.4452
USC,34.0224,-118.2851
Utah,40.7649,-111.8421
Vanderbilt,36.1447,-86.8027
Virginia,38.0336,-78.508
Virginia Tech,37.2284,-80.4234
Wake Forest,36.1323,-80.2771
Washington,47.6553,-122.3035
Washington State,46.7319,-117.1542
West Virginia,39.6358,-79.9554
Wisconsin,43.0766,-89.4125
